Price,Close
Ticker,5108.T
Date,
2021-03-04,1813.6049
2021-03-05,1834.1803
2021-03-08,1806.8862
2021-03-09,1863.9944
2021-03-10,1877.8513
2021-03-11,1829.5615
2021-03-12,1844.2583
2021-03-15,1849.7173
2021-03-16,1843.8384
2021-03-17,1825.3624
2021-03-18,1882.4706
2021-03-19,1866.0936
2021-03-22,1850.1372
2021-03-23,1845.5182
2021-03-24,1803.9468
2021-03-25,1840.479
2021-03-26,1887.9294
2021-03-29,1912.2844
2021-03-30,1944.198
2021-03-31,1879.1115
2021-04-01,1840.059
2021-04-02,1850.5573
2021-04-05,1851.8168
2021-04-06,1834.6006
2021-04-07,1860.6353
2021-04-08,1842.5789
2021-04-09,1846.3579
2021-04-12,1843.8384
2021-04-13,1837.9598
2021-04-14,1849.7173
2021-04-15,1862.7347
2021-04-16,1862.3146
2021-04-19,1872.3925
2021-04-20,1850.1372
2021-04-21,1818.2238
2021-04-22,1861.4749
2021-04-23,1887.0895
2021-04-26,1875.7516
2021-04-27,1855.1761
2021-04-28,1873.6525
2021-04-30,1837.9598
2021-05-06,1892.9686
2021-05-07,1906.8254
2021-05-10,1943.358
2021-05-11,1918.583
2021-05-12,1932.4401
2021-05-13,1937.059
2021-05-14,1945.0374
2021-05-17,1955.5354
2021-05-18,1987.8687
2021-05-19,2018.9425
2021-05-20,2033.639
2021-05-21,2004.2456
2021-05-24,2002.5658
2021-05-25,2013.4835
2021-05-26,2010.5441
2021-05-27,1996.6866
2021-05-28,2053.7952
2021-05-31,2018.1025
2021-06-01,2033.2192
2021-06-02,2066.3923
2021-06-03,2106.2839
2021-06-04,2090.7471
2021-06-07,2089.0681
2021-06-08,2074.7905
2021-06-09,2075.2104
2021-06-10,2071.8508
2021-06-11,2064.293
2021-06-14,2091.5874
2021-06-15,2098.3059
2021-06-16,2141.137
2021-06-17,2127.2798
2021-06-18,2118.0417
2021-06-21,2047.4962
2021-06-22,2152.0549
2021-06-23,2168.0115
2021-06-24,2150.375
2021-06-25,2167.5916
2021-06-28,2156.2539
2021-06-29,2152.4109
2021-06-30,2158.3884
2021-07-01,2155.3999
2021-07-02,2207.4915
2021-07-05,2174.1873
2021-07-06,2188.2776
2021-07-07,2151.1301
2021-07-08,2136.6128
2021-07-09,2116.1174
2021-07-12,2117.8254
2021-07-13,2129.7808
2021-07-14,2047.3738
2021-07-15,2014.4961
2021-07-16,2014.0693
2021-07-19,1998.6978
2021-07-20,1991.8663
2021-07-21,2013.2152
2021-07-26,2037.5532
2021-07-27,2056.3403
2021-07-28,2045.2385
2021-07-29,2037.5532
2021-07-30,2049.5085
2021-08-02,2075.1277
2021-08-03,2051.6436
2021-08-04,2054.6323
2021-08-05,2061.4641
2021-08-06,2043.531
2021-08-10,2083.2402
2021-08-11,2194.6819
2021-08-12,2198.5249
2021-08-13,2196.3901
2021-08-16,2170.771
2021-08-17,2163.5127
2021-08-18,2159.2429
2021-08-19,2127.219
2021-08-20,2088.364
2021-08-23,2137.4666
2021-08-24,2124.6572
2021-08-25,2122.0955
2021-08-26,2141.7366
2021-08-27,2125.511
2021-08-30,2150.7034
2021-08-31,2162.2314
2021-09-01,2164.7932
2021-09-02,2161.8042
2021-09-03,2201.9404
2021-09-06,2235.2451
2021-09-07,2271.5388
2021-09-08,2279.2244
2021-09-09,2239.0876
2021-09-10,2265.1335
2021-09-13,2275.8083
2021-09-14,2267.6956
2021-09-15,2251.4702
2021-09-16,2269.4041
2021-09-17,2272.3926
2021-09-21,2264.28
2021-09-22,2236.9534
2021-09-24,2284.3479
2021-09-27,2296.3032
2021-09-28,2315.5176
2021-09-29,2311.6753
2021-09-30,2265.5608
2021-10-01,2204.0757
2021-10-04,2199.8059
2021-10-05,2189.1313
2021-10-06,2204.5027
2021-10-07,2190.4124
2021-10-08,2205.7839
2021-10-11,2251.0435
2021-10-12,2274.1006
2021-10-13,2240.7961
2021-10-14,2240.3694
2021-10-15,2269.4041
2021-10-18,2259.5833
2021-10-19,2226.7058
2021-10-20,2176.3218
2021-10-21,2160.0967
2021-10-22,2178.0295
2021-10-25,2133.1968
2021-10-26,2166.928
2021-10-27,2162.6584
2021-10-28,2151.9839
2021-10-29,2143.0176
2021-11-01,2191.2664
2021-11-02,2151.9839
2021-11-04,2169.0635
2021-11-05,2189.1313
2021-11-08,2202.3677
2021-11-09,2150.2761
2021-11-10,2093.9146
2021-11-11,2097.7576
2021-11-12,2119.1064
2021-11-15,2102.0273
2021-11-16,2116.5444
2021-11-17,2125.0845
2021-11-18,2087.9365
2021-11-19,2095.1956
2021-11-22,2105.0161
2021-11-24,2090.4985
2021-11-25,2073.8464
2021-11-26,2029.0134
2021-11-29,1966.2473
2021-11-30,1966.2473
2021-12-01,1973.5061
2021-12-02,2007.2373
2021-12-03,2050.7896
2021-12-06,2057.6213
2021-12-07,2106.2969
2021-12-08,2120.8142
2021-12-09,2143.0176
2021-12-10,2102.0273
2021-12-13,2120.3872
2021-12-14,2125.0845
2021-12-15,2106.7241
2021-12-16,2123.3762
2021-12-17,2118.2524
2021-12-20,2027.3055
2021-12-21,2076.835
2021-12-22,2102.4541
2021-12-23,2133.624
2021-12-24,2131.916
2021-12-27,2147.7139
2021-12-28,2175.8948
2021-12-29,2145.0652
2021-12-30,2148.9727
2022-01-04,2153.7495
2022-01-05,2213.6726
2022-01-06,2211.5015
2022-01-07,2206.7251
2022-01-11,2211.0671
2022-01-12,2231.4758
2022-01-13,2216.7119
2022-01-14,2205.4221
2022-01-17,2247.1074
2022-01-18,2202.3828
2022-01-19,2151.5784
2022-01-20,2184.1453
2022-01-21,2219.7515
2022-01-24,2219.3171
2022-01-25,2198.4746
2022-01-26,2174.5923
2022-01-27,2157.6575
2022-01-28,2178.0662
2022-01-31,2176.7629
2022-02-01,2158.9602
2022-02-02,2199.7773
2022-02-03,2244.0684
2022-02-04,2254.4895
2022-02-07,2257.0947
2022-02-08,2300.9512
2022-02-09,2288.3589
2022-02-10,2283.1482
2022-02-14,2079.4971
2022-02-15,2128.1304
2022-02-16,2285.3191
2022-02-17,2285.3191
2022-02-18,2229.3044
2022-02-21,2229.3044
2022-02-22,2148.5391
2022-02-24,2033.0352
2022-02-25,2032.1667
2022-02-28,2051.7068
2022-03-01,2039.1144
2022-03-02,1901.4657
2022-03-03,1951.8356
2022-03-04,1934.0322
2022-03-07,1851.0957
2022-03-08,1761.6455
2022-03-09,1802.0284
2022-03-10,1858.9116
2022-03-11,1825.9105
2022-03-14,1866.7278
2022-03-15,1897.1235
2022-03-16,1897.9918
2022-03-17,1946.1904
2022-03-18,1954.8751
2022-03-22,1974.4152
2022-03-23,1986.5736
2022-03-24,2010.8903
2022-03-25,2007.8503
2022-03-28,2018.7058
2022-03-29,2038.6804
2022-03-30,2058.6548
2022-03-31,2066.0364
2022-04-01,2054.312
2022-04-04,2054.7463
2022-04-05,2033.4696
2022-04-06,1984.8364
2022-04-07,1971.3757
2022-04-08,1944.8878
2022-04-11,1946.1904
2022-04-12,1926.2166
2022-04-13,1987.4417
2022-04-14,2015.2321
2022-04-15,2019.5742
2022-04-18,1997.8629
2022-04-19,2014.3641
2022-04-20,2057.7861
2022-04-21,2071.6814
2022-04-22,2035.2064
2022-04-25,2032.6014
2022-04-26,2069.9441
2022-04-27,2038.2462
2022-04-28,2069.9441
2022-05-02,2094.6948
2022-05-06,2112.4983
2022-05-09,2068.2075
2022-05-10,2057.3518
2022-05-11,2044.3254
2022-05-12,2081.2341
2022-05-13,2098.1687
2022-05-16,2094.6948
2022-05-17,2128.5645
2022-05-18,2121.6169
2022-05-19,2118.1433
2022-05-20,2130.7356
2022-05-23,2160.2632
2022-05-24,2134.21
2022-05-25,2164.1707
2022-05-26,2188.9214
2022-05-27,2166.7764
2022-05-30,2200.6455
2022-05-31,2207.1589
2022-06-01,2244.5022
2022-06-02,2252.7524
2022-06-03,2245.3711
2022-06-06,2256.2263
2022-06-07,2274.8977
2022-06-08,2296.175
2022-06-09,2291.8328
2022-06-10,2280.9771
2022-06-13,2243.6335
2022-06-14,2213.6726
2022-06-15,2199.3433
2022-06-16,2243.6335
2022-06-17,2194.5667
2022-06-20,2186.7505
2022-06-21,2240.5945
2022-06-22,2274.4641
2022-06-23,2275.7664
2022-06-24,2254.4895
2022-06-27,2241.897
2022-06-28,2243.6335
2022-06-29,2200.8096
2022-06-30,2185.3577
2022-07-01,2094.8525
2022-07-04,2109.4219
2022-07-05,2126.6399
2022-07-06,2134.145
2022-07-07,2204.3413
2022-07-08,2192.4214
2022-07-11,2224.2087
2022-07-12,2210.5222
2022-07-13,2213.1711
2022-07-14,2227.7402
2022-07-15,2211.4053
2022-07-19,2263.501
2022-07-20,2328.8406
2022-07-21,2308.9739
2022-07-22,2298.8196
2022-07-25,2281.1599
2022-07-26,2304.1174
2022-07-27,2297.9368
2022-07-28,2315.1545
2022-07-29,2294.8462
2022-08-01,2357.9785
2022-08-02,2318.2451
2022-08-03,2325.7505
2022-08-04,2331.4895
2022-08-05,2346.9414
2022-08-08,2375.197
2022-08-09,2362.3936
2022-08-10,2360.186
2022-08-12,2360.186
2022-08-15,2404.7766
2022-08-16,2398.5955
2022-08-17,2414.9307
2022-08-18,2401.2444
2022-08-19,2404.7766
2022-08-22,2410.5154
2022-08-23,2362.835
2022-08-24,2397.271
2022-08-25,2398.1541
2022-08-26,2421.5527
2022-08-29,2375.197
2022-08-30,2374.7554
2022-08-31,2363.2764
2022-09-01,2310.7397
2022-09-02,2308.0906
2022-09-05,2297.9368
2022-09-06,2290.4312
2022-09-07,2278.0696
2022-09-08,2318.6863
2022-09-09,2297.4951
2022-09-12,2307.208
2022-09-13,2326.6333
2022-09-14,2238.7776
2022-09-15,2247.1653
2022-09-16,2220.2349
2022-09-20,2249.3733
2022-09-21,2214.4956
2022-09-22,2219.3521
2022-09-26,2129.2886
2022-09-27,2144.2991
2022-09-28,2102.3582
2022-09-29,2135.9111
2022-09-30,2061.2998
2022-10-03,2112.9541
2022-10-04,2160.6343
2022-10-05,2156.6609
2022-10-06,2171.6711
2022-10-07,2164.1665
2022-10-11,2146.5068
2022-10-12,2145.624
2022-10-13,2154.8953
2022-10-14,2205.6658
2022-10-17,2186.6821
2022-10-18,2208.7563
2022-10-19,2223.3254
2022-10-20,2244.0752
2022-10-21,2240.9849
2022-10-24,2279.8359
2022-10-25,2333.6968
2022-10-26,2318.6863
2022-10-27,2311.6228
2022-10-28,2324.4258
2022-10-31,2367.2498
2022-11-01,2366.8081
2022-11-02,2354.447
2022-11-04,2317.8032
2022-11-07,2351.3567
2022-11-08,2371.2234
2022-11-09,2359.303
2022-11-10,2283.8088
2022-11-11,2383.1433
2022-11-14,2365.9258
2022-11-15,2378.7288
2022-11-16,2327.075
2022-11-17,2313.3887
2022-11-18,2322.6599
2022-11-21,2332.3726
2022-11-22,2366.8081
2022-11-24,2351.3567
2022-11-25,2309.8564
2022-11-28,2310.7397
2022-11-29,2279.8359
2022-11-30,2281.1599
2022-12-01,2270.5647
2022-12-02,2226.8574
2022-12-05,2223.3254
2022-12-06,2230.8306
2022-12-07,2212.2883
2022-12-08,2209.6394
2022-12-09,2224.6501
2022-12-12,2234.3625
2022-12-13,2221.5593
2022-12-14,2220.2349
2022-12-15,2207.4319
2022-12-16,2189.3308
2022-12-19,2161.0757
2022-12-20,2136.3528
2022-12-21,2106.3318
2022-12-22,2118.2517
2022-12-23,2107.656
2022-12-26,2134.5867
2022-12-27,2133.262
2022-12-28,2136.3528
2022-12-29,2117.009
2022-12-30,2110.261
2023-01-04,2086.8691
2023-01-05,2098.5649
2023-01-06,2110.7112
2023-01-10,2116.1094
2023-01-11,2135.9028
2023-01-12,2143.1003
2023-01-13,2118.8083
2023-01-16,2109.3616
2023-01-17,2125.1062
2023-01-18,2153.897
2023-01-19,2138.6021
2023-01-20,2136.3528
2023-01-23,2146.249
2023-01-24,2186.2864
2023-01-25,2193.4839
2023-01-26,2188.9856
2023-01-27,2188.9856
2023-01-30,2176.3894
2023-01-31,2175.0398
2023-02-01,2172.3406
2023-02-02,2164.6934
2023-02-03,2159.2952
2023-02-06,2184.0371
2023-02-07,2172.3406
2023-02-08,2189.4353
2023-02-09,2171.8911
2023-02-10,2185.3865
2023-02-13,2180.438
2023-02-14,2193.0342
2023-02-15,2184.0371
2023-02-16,2220.4751
2023-02-17,2315.8442
2023-02-20,2349.1333
2023-02-21,2341.0359
2023-02-22,2332.0388
2023-02-24,2347.7834
2023-02-27,2343.2849
2023-02-28,2350.4827
2023-03-01,2355.8811
2023-03-02,2347.7834
2023-03-03,2355.8811
2023-03-06,2371.176
2023-03-07,2377.4736
2023-03-08,2409.4138
2023-03-09,2408.9636
2023-03-10,2419.3101
2023-03-13,2370.7263
2023-03-14,2305.0476
2023-03-15,2287.9534
2023-03-16,2264.1108
2023-03-17,2278.9563
2023-03-20,2261.8616
2023-03-22,2316.7437
2023-03-23,2335.6375
2023-03-24,2326.6404
2023-03-27,2346.884
2023-03-28,2350.033
2023-03-29,2407.1643
2023-03-30,2431.4563
2023-03-31,2414.3621
2023-04-03,2394.5684
2023-04-04,2392.7686
2023-04-05,2354.0818
2023-04-06,2305.0476
2023-04-07,2301.4487
2023-04-10,2330.2395
2023-04-11,2362.1792
2023-04-12,2388.2705
2023-04-13,2374.7744
2023-04-14,2371.176
2023-04-17,2408.5137
2023-04-18,2409.8635
2023-04-19,2410.7627
2023-04-20,2400.4165
2023-04-21,2396.8176
2023-04-24,2407.1643
2023-04-25,2413.0125
2023-04-26,2394.1187
2023-04-27,2420.2102
2023-04-28,2446.3015
2023-05-01,2463.3958
2023-05-02,2467.8943
2023-05-08,2477.3416
2023-05-09,2501.6333
2023-05-10,2463.8459
2023-05-11,2439.1038
2023-05-12,2491.2869
2023-05-15,2534.9226
2023-05-16,2540.3208
2023-05-17,2537.1716
2023-05-18,2533.1233
2023-05-19,2543.9197
2023-05-22,2577.6587
2023-05-23,2565.0625
2023-05-24,2559.6646
2023-05-25,2552.4666
2023-05-26,2571.8108
2023-05-29,2592.5039
2023-05-30,2587.5554
2023-05-31,2554.2661
2023-06-01,2521.877
2023-06-02,2547.9685
2023-06-05,2605.5496
2023-06-06,2609.1484
2023-06-07,2600.1511
2023-06-08,2589.8049
2023-06-09,2634.7903
2023-06-12,2633.8901
2023-06-13,2674.3772
2023-06-14,2704.9673
2023-06-15,2713.9644
2023-06-16,2702.2678
2023-06-19,2679.3252
2023-06-20,2660.8816
2023-06-21,2686.0732
2023-06-22,2687.4229
2023-06-23,2651.4346
2023-06-26,2668.0791
2023-06-27,2673.9275
2023-06-28,2717.113
2023-06-29,2714.3684
2023-06-30,2695.1567
2023-07-03,2715.741
2023-07-04,2668.1685
2023-07-05,2684.6357
2023-07-06,2646.2119
2023-07-07,2630.2019
2023-07-10,2621.0535
