Price,Close
Ticker,SIE.DE
Date,
2021-03-04,115.5701
2021-03-05,113.4784
2021-03-08,118.2242
2021-03-09,118.734
2021-03-10,118.9625
2021-03-11,120.1401
2021-03-12,118.98
2021-03-15,118.4703
2021-03-16,119.0152
2021-03-17,119.5074
2021-03-18,123.9016
2021-03-19,121.0717
2021-03-22,119.314
2021-03-23,119.5074
2021-03-24,119.1382
2021-03-25,119.0503
2021-03-26,120.7378
2021-03-29,121.142
2021-03-30,123.9895
2021-03-31,123.0404
2021-04-01,123.7434
2021-04-06,124.1301
2021-04-07,123.0755
2021-04-08,123.4271
2021-04-09,123.3919
2021-04-12,122.4076
2021-04-13,122.5131
2021-04-14,121.9506
2021-04-15,123.0404
2021-04-16,128.2784
2021-04-19,126.3801
2021-04-20,123.2864
2021-04-21,124.095
2021-04-22,125.2024
2021-04-23,125.6242
2021-04-26,125.2199
2021-04-27,124.9387
2021-04-28,124.2356
2021-04-29,122.5131
2021-04-30,122.0033
2021-05-03,123.7786
2021-05-04,119.6128
2021-05-05,123.0404
2021-05-06,123.1634
2021-05-07,126.8019
2021-05-10,126.3801
2021-05-11,122.8119
2021-05-12,122.39
2021-05-13,123.3216
2021-05-14,126.9776
2021-05-17,124.2883
2021-05-18,122.1791
2021-05-19,117.486
2021-05-20,118.523
2021-05-21,119.4019
2021-05-25,118.98
2021-05-26,118.3824
2021-05-27,114.2693
2021-05-28,118.5582
2021-05-31,116.572
2021-06-01,118.6812
2021-06-02,119.8589
2021-06-03,119.314
2021-06-04,119.5249
2021-06-07,119.5601
2021-06-08,119.4722
2021-06-09,119.5249
2021-06-10,118.734
2021-06-11,120.1577
2021-06-14,119.2964
2021-06-15,121.81
2021-06-16,120.2104
2021-06-17,120.7553
2021-06-18,117.5035
2021-06-21,119.9643
2021-06-22,120.1401
2021-06-23,120.2807
2021-06-24,118.857
2021-06-25,120.3335
2021-06-28,117.943
2021-06-29,118.2945
2021-06-30,117.4332
2021-07-01,117.8902
2021-07-02,117.6442
2021-07-05,117.5035
2021-07-06,116.2028
2021-07-07,117.7496
2021-07-08,115.1482
2021-07-09,116.7477
2021-07-12,117.3629
2021-07-13,118.3824
2021-07-14,117.3805
2021-07-15,114.4627
2021-07-16,113.7244
2021-07-19,110.8066
2021-07-20,111.6503
2021-07-21,114.5154
2021-07-22,117.7672
2021-07-23,118.2594
2021-07-26,118.1363
2021-07-27,117.0817
2021-07-28,117.0993
2021-07-29,117.0465
