Price,Close
Ticker,LIN
Date,
2021-03-04,229.2585
2021-03-05,231.3323
2021-03-08,236.9746
2021-03-09,245.0644
2021-03-10,248.1471
2021-03-11,249.7632
2021-03-12,250.8187
2021-03-15,251.2857
2021-03-16,252.9579
2021-03-17,251.7995
2021-03-18,250.2582
2021-03-19,251.3978
2021-03-22,252.5562
2021-03-23,250.2395
2021-03-24,252.005
2021-03-25,255.3773
2021-03-26,262.8692
2021-03-29,262.4955
2021-03-30,260.8701
2021-03-31,261.6922
2021-04-01,262.3461
2021-04-05,266.6057
2021-04-06,265.4006
2021-04-07,262.8225
2021-04-08,263.6165
2021-04-09,266.0453
2021-04-12,266.6339
2021-04-13,267.4371
2021-04-14,266.2789
2021-04-15,269.0066
2021-04-16,270.8655
2021-04-19,269.4549
2021-04-20,267.0168
2021-04-21,272.7431
2021-04-22,269.6885
2021-04-23,272.3975
2021-04-26,270.4545
2021-04-27,271.099
2021-04-28,268.2312
2021-04-29,270.2863
2021-04-30,267.0168
2021-05-03,269.6885
2021-05-04,264.3638
2021-05-05,272.4068
2021-05-06,276.8813
2021-05-07,279.2448
2021-05-10,281.1877
2021-05-11,278.9458
2021-05-12,274.6208
2021-05-13,278.3293
2021-05-14,281.3373
2021-05-17,281.0664
2021-05-18,278.3761
2021-05-19,276.5732
2021-05-20,278.4975
2021-05-21,278.9086
2021-05-24,281.4307
2021-05-25,281.412
2021-05-26,280.0294
2021-05-27,280.9729
2021-05-28,280.8048
2021-06-01,282.3555
2021-06-02,281.1181
2021-06-03,279.6557
2021-06-04,281.0993
2021-06-07,273.3373
2021-06-08,274.1998
2021-06-09,272.3062
2021-06-10,272.1655
2021-06-11,272.9999
2021-06-14,272.7093
2021-06-15,272.7093
2021-06-16,271.4438
2021-06-17,269.2689
2021-06-18,264.3755
2021-06-21,270.2907
2021-06-22,272.1843
2021-06-23,266.9441
2021-06-24,267.291
2021-06-25,267.2723
2021-06-28,271.5656
2021-06-29,272.203
2021-06-30,271.0125
2021-07-01,272.6437
2021-07-02,273.5061
2021-07-06,270.4501
2021-07-07,274.2279
2021-07-08,269.0345
2021-07-09,274.3966
2021-07-12,274.2186
2021-07-13,271.5938
2021-07-14,272.878
2021-07-15,273.778
2021-07-16,271.9219
2021-07-19,266.8596
2021-07-20,272.203
2021-07-21,275.7934
2021-07-22,276.7497
2021-07-23,280.1151
2021-07-26,279.7963
2021-07-27,280.1526
2021-07-28,278.287
2021-07-29,280.715
2021-07-30,288.1583
2021-08-02,281.4368
2021-08-03,283.9679
2021-08-04,286.4991
2021-08-05,285.7584
2021-08-06,286.7334
2021-08-09,284.2866
2021-08-10,282.8992
2021-08-11,287.1364
2021-08-12,287.4738
2021-08-13,290.0425
2021-08-16,291.8705
2021-08-17,292.0298
2021-08-18,290.5206
2021-08-19,291.7018
2021-08-20,294.2141
2021-08-23,293.2578
2021-08-24,292.9298
2021-08-25,293.2766
2021-08-26,291.8424
2021-08-27,294.8609
2021-08-30,295.8076
2021-08-31,294.9077
2021-09-01,294.2422
2021-09-02,296.8289
2021-09-03,294.8159
2021-09-07,296.8947
2021-09-08,293.0853
2021-09-09,294.1293
2021-09-10,292.0035
2021-09-13,294.8818
2021-09-14,293.4145
2021-09-15,295.8506
2021-09-16,294.4866
2021-09-17,290.95
2021-09-20,284.2623
2021-09-21,286.8489
2021-09-22,287.8836
2021-09-23,291.9377
2021-09-24,291.8342
2021-09-27,290.8465
2021-09-28,282.1177
2021-09-29,281.3747
2021-09-30,275.9567
2021-10-01,280.1612
2021-10-04,277.1512
2021-10-05,280.1424
2021-10-06,278.4682
2021-10-07,281.3934
2021-10-08,278.5999
2021-10-11,277.33
2021-10-12,278.2424
